exp,label,group,WER,CER,MathTerm Recall,OverBias,TailRate,Align Score
whisper_base_ft_only,FT only,baseline,0.923346799914948,0.9153639718215364,0.0878091872791519,0.002870508186264,0.0,
v5_arch_residual_mlp_ce,Residual CE,CE-only,0.9121837125239208,0.9087219054008722,0.1003533568904593,0.0075483733786944,0.0172570390554041,-0.0186378105820433
v5_arch_gated_ce,Gated CE,CE-only,0.9144163300021264,0.9113384770211338,0.1012367491166077,0.0115883478630661,0.0190735694822888,0.0470823632251169
v5_arch_bottleneck_ce,Bottleneck CE,CE-only,0.9121837125239208,0.9087219054008722,0.1003533568904593,0.0075483733786944,0.0172570390554041,-0.0186378071923647
v5_arch_linear_residual_ce,Linear Residual CE,CE-only,0.9347225175419944,0.9292854746729284,0.1010600706713781,0.0301934935147778,0.0090826521344232,-0.0188586804134821
v5_arch_conv1d_ce,Conv1D CE,CE-only,0.910695300871784,0.9069439785306944,0.1021201413427561,0.0086115245587922,0.033605812897366,-0.0029108206875756
v5_loss_residual_ce,Residual CE,loss,0.9121837125239208,0.9087219054008722,0.1003533568904593,0.0075483733786944,0.0172570390554041,-0.0186378087739351
v5_loss_residual_cosine,Residual cosine,loss,0.9121837125239208,0.9087219054008722,0.1003533568904593,0.0075483733786944,0.0172570390554041,0.77041837331411
v5_loss_residual_mse,Residual MSE,loss,0.9121837125239208,0.9087219054008722,0.1003533568904593,0.0075483733786944,0.0172570390554041,0.7574087598839322
v5_loss_residual_clip,Residual CLIP,loss,0.924303635977036,0.919121100301912,0.0998233215547703,0.0191367212417605,0.0217983651226158,0.3301824641388816
v5_loss_residual_cosine_clip,Residual cos+CLIP,loss,0.923240484796938,0.9182153639718216,0.0996466431095406,0.0175419944716138,0.0199818346957311,0.7522768466859251
v5_loss_residual_cosine_mse,Residual cos+MSE,loss,0.9121837125239208,0.9087219054008722,0.1003533568904593,0.0075483733786944,0.0172570390554041,0.7704184374830745
v5_loss_residual_all,Residual all,loss,0.923240484796938,0.9182153639718216,0.0996466431095406,0.0175419944716138,0.0199818346957311,0.752283174980868
v5_pos_post_encoder_cosine,Post-enc,position,0.9121837125239208,0.9087219054008722,0.1003533568904593,0.0075483733786944,0.0172570390554041,0.7704183679443222
v5_pos_encoder_layer3_cosine,Layer 3,position,0.9096321496916862,0.9045622274404562,0.1003533568904593,0.004358919838401,0.0027247956403269,0.6859987429133406
v5_pos_encoder_layer6_cosine,Layer 6,position,0.9261109929832022,0.9198255618919824,0.1001766784452296,0.0206251328938975,0.0054495912806539,0.6938797047546318
v5_pos_encoder_layer9_cosine,Layer 9,position,0.9261109929832022,0.9198255618919824,0.1001766784452296,0.0206251328938975,0.0054495912806539,0.6938796846179275
v5_pos_both_layer6_cosine,Both L6,position,0.9109079311078035,0.9070110701107011,0.1012367491166077,0.0068041675526259,0.0090826521344232,0.7156633699799443
v5_pool_gated_mean_cosine,Gated mean,pooling,0.914522645120136,0.9114055686011404,0.1012367491166077,0.0116946629810759,0.0199818346957311,0.7669011649784742
v5_pool_gated_attn_cosine,Gated attn,pooling,0.9162236870082926,0.9144917812814491,0.1010600706713781,0.0131830746332128,0.0154405086285195,0.8500284700243322
v5_pool_gated_cls_cosine,Gated cls,pooling,0.9144163300021264,0.9116068433411608,0.1012367491166077,0.0115883478630661,0.0172570390554041,0.7289141612546938
