sample_id,audio_path,reference_text,reference_latex,source
425,/data1/eunju/datasets/mathspeech/dataset/425.mp3,1 over n cubed times the sum i squared. i equals 1 to n,$\frac{1}{n^{3}}\sum_{i=1}^{n}{i}^{2}$,https://www.youtube.com/watch?v=hjZhPczMkL4
329,/data1/eunju/datasets/mathspeech/dataset/329.mp3,x is equal to 2 to the 1 3rd v to the 1 3rd,$x=2^{\frac{1}{3}}v^{\frac{1}{3}}$,https://www.youtube.com/watch?v=YN7k_bXXggY
579,/data1/eunju/datasets/mathspeech/dataset/579.mp3,x is equal to two tan u,$x=2\tan u$ ,https://www.youtube.com/watch?v=aeXp1zC6Hls
798,/data1/eunju/datasets/mathspeech/dataset/798.mp3,dy equals f prime of x times dx,$dy=f^{\prime}(x)dx$,https://www.youtube.com/watch?v=7eZVshlT33Q
482,/data1/eunju/datasets/mathspeech/dataset/482.mp3,2 pi a x minus x cubed,$2\pi(ax-x^{3})$,https://www.youtube.com/watch?v=ShGBRUx2ub8
41,/data1/eunju/datasets/mathspeech/dataset/41.mp3,minus x squared sine squared x,$ -x^2 \sin^{2}x$,https://www.youtube.com/watch?v=55ncRlBZstA
661,/data1/eunju/datasets/mathspeech/dataset/661.mp3,v is equal to x squared over two,$v=\frac{x^{2}}{2}$,https://www.youtube.com/watch?v=BGE3wb7H2PA
926,/data1/eunju/datasets/mathspeech/dataset/926.mp3,Nx minus My dA,$\displaystyle (Nx - My)dA$,https://www.youtube.com/watch?v=tYdoS0tkAHA
522,/data1/eunju/datasets/mathspeech/dataset/522.mp3,1 quarter of 1 minus the cosine of 4x divided by 2, $\frac{1}{4}(\frac{1 - \cos(4x)}{2})$,https://www.youtube.com/watch?v=Bv9kVDcj7yo
846,/data1/eunju/datasets/mathspeech/dataset/846.mp3,dz equals minus one over six times four dx plus dy,$dz=-\frac{1}{6}(4dx+dy)$,https://www.youtube.com/watch?v=23xbkrpQuAo
740,/data1/eunju/datasets/mathspeech/dataset/740.mp3, t minus sine t,$t-\sin t$,https://www.youtube.com/watch?v=0D4BbCa4gHo
789,/data1/eunju/datasets/mathspeech/dataset/789.mp3,y squared times a times x over y squared,$y^{2}a(x/y)^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA
369,/data1/eunju/datasets/mathspeech/dataset/369.mp3,five halves over x zero,$\frac{5}{2}\over x_0$,https://www.youtube.com/watch?v=sRIDVAcoG5A
998,/data1/eunju/datasets/mathspeech/dataset/998.mp3,f equals x squared y plus g,$f=x^{2}y+g$,https://www.youtube.com/watch?v=seO7-TwXH_I
847,/data1/eunju/datasets/mathspeech/dataset/847.mp3,partial z over partial x is minus four over six,$\displaystyle \frac{\partial z}{\partial x} = -\frac{4}{6}$,https://www.youtube.com/watch?v=23xbkrpQuAo
557,/data1/eunju/datasets/mathspeech/dataset/557.mp3,natural log of x minus 1 plus 3 times natural log of x plus 3,$\ln(x-1)+3\ln(x+3)$,https://www.youtube.com/watch?v=HgEqXhsIq_g
389,/data1/eunju/datasets/mathspeech/dataset/389.mp3,one-third x to the minus two thirds,$\frac{1}{3}x^{-\frac{2}{3}}$,https://www.youtube.com/watch?v=-MI0b4h3rS0
517,/data1/eunju/datasets/mathspeech/dataset/517.mp3,one plus the coisine of two theta over two,$\frac{1+\cos(2\theta)}{2}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo
443,/data1/eunju/datasets/mathspeech/dataset/443.mp3,b greater than or equal to 0,$b\geq 0$,https://www.youtube.com/watch?v=1RLctDS2hUQ
788,/data1/eunju/datasets/mathspeech/dataset/788.mp3, a times x plus b over 2a times y squared,$\displaystyle a(x+\frac{b}{2a}y)^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA
471,/data1/eunju/datasets/mathspeech/dataset/471.mp3,y minus two times y plus one is equal to zero,$(y-2)(y+1)=0$,https://www.youtube.com/watch?v=_JXPe2J069c
55,/data1/eunju/datasets/mathspeech/dataset/55.mp3,y equals arctan x,$y = \arctan x$,https://www.youtube.com/watch?v=aYMt2ZVGd7g
413,/data1/eunju/datasets/mathspeech/dataset/413.mp3,a half sine squared plus cosine squared,$\frac{1}{2}\sin^{2}+\cos^{2}$,https://www.youtube.com/watch?v=-MI0b4h3rS0
34,/data1/eunju/datasets/mathspeech/dataset/34.mp3,pi over 3 sine x plus sine pi over 3 cosine x,$\displaystyle \frac{\pi}{3} \sin(x) + \sin\frac{\pi}{3} \cos(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig
419,/data1/eunju/datasets/mathspeech/dataset/419.mp3,1 3rd n cubed,$\frac{1}{3}n^{3}$,https://www.youtube.com/watch?v=hjZhPczMkL4
930,/data1/eunju/datasets/mathspeech/dataset/930.mp3,square root of x squared plus y squared,$\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=_CdoRiNSrqI
367,/data1/eunju/datasets/mathspeech/dataset/367.mp3,x0 squared minus 5,$x_0^{2} - 5$ ,https://www.youtube.com/watch?v=sRIDVAcoG5A
968,/data1/eunju/datasets/mathspeech/dataset/968.mp3,four pi a squared,$4\pi a^{2}$,https://www.youtube.com/watch?v=phk05iSMezA
745,/data1/eunju/datasets/mathspeech/dataset/745.mp3, v divided by magnitude of v,$v/||v||$,https://www.youtube.com/watch?v=0D4BbCa4gHo
375,/data1/eunju/datasets/mathspeech/dataset/375.mp3,e2 would be x minus x2 in absolute value,$\displaystyle \mathbb{e}_2 = |x - x_{2}|$,https://www.youtube.com/watch?v=4Q37iOyBq44
610,/data1/eunju/datasets/mathspeech/dataset/610.mp3,the square root of 1 plus the quantity 2x squared dx.,$\sqrt{1+(2x)^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4
88,/data1/eunju/datasets/mathspeech/dataset/88.mp3,w of one plus two times e to the w of one,$w(1) + 2 e^{w(1)}$,https://www.youtube.com/watch?v=8gGbViZjoRw
407,/data1/eunju/datasets/mathspeech/dataset/407.mp3,6 e to the 6x,$6\mathrm{e}^{6x}$,https://www.youtube.com/watch?v=-MI0b4h3rS0
